India_ydata;India_fitted;US_ydata;US_fitted;Germany_ydata;Germany_fitted
1024.0;1024.0;1109.0;1109.0;1040;1040.0
1251.0;1279.1329530391738;1561.0;1479.1262655546573;1176;1408.4682597171368
1397.0;1579.8029171024496;2157.0;1968.3037843101831;1457;1865.2171172204496
1998.0;1924.006239591794;2870.0;2611.354957714387;1908;2397.941430643271
2543.0;2303.59141002131;2968.0;3450.6248936764905;2078;2967.6813385030996
2567.0;2702.370373893913;4360.0;4535.5303326766425;3675;3503.9663148682475
3082.0;3095.266373677014;6141.0;5920.163415273052;4585;3913.727712123583
3588.0;3588.0;8917.0;8917.0;5795;5795.0
4778.0;4325.607765811993;14157.0;12902.954679118597;7272;7568.894235332773
5311.0;5138.860704667869;19479.0;18364.463241666133;9257;9776.153841804538
5916.0;5999.568873340814;25825.0;25530.18963048389;12327;12446.452255533577
6725.0;6863.542722687571;33761.0;34351.38636288413;15320;15557.926996415681
7598.0;7671.698962267347;43850.0;44234.935579453515;19848;19005.81580880095
8446.0;8355.530408763909;54112.0;53832.933979185844;22213;22574.990675475645
9205.0;9205.0;66055.0;66055.0;24873;24873.0
10453.0;10226.309507075264;84091.0;81764.91448045753;29056;28662.398503604818
11487.0;11291.390496897455;102276.0;100000.23524938682;32986;33019.585728233134
12322.0;12383.194445074834;122069.0;120513.02968803425;37323;38026.49980422588
13430.0;13480.049467571778;141205.0;142672.6582197476;43938;43775.868579151174
14352.0;14555.917030641707;162707.0;165379.87582857386;50871;50372.2850061548
15722.0;15581.113911982402;188724.0;187057.67590734418;57695;57933.2667475851
17615.0;17615.0;214205.0;214205.0;62095;62095.0
18539.0;18824.048306684243;244610.0;244066.0522763875;66885;67201.18689218833
20080.0;20116.08246928746;276547.0;275443.1343833811;71808;72591.54801727278
21370.0;21496.798423321234;309699.0;307527.5937943163;77872;78256.03105216594
23077.0;22972.282838052743;337573.0;339263.94338591874;84794;84178.75381302928
24530.0;24549.04045623141;367215.0;369384.13990303;91159;90337.26447488884
26283.0;26234.02233976072;397992.0;396482.7006998432;96092;96701.85310584318
27890.0;27890.0;429686.0;429686.0;100123;100123.0
29451.0;29551.978060622387;464442.0;463126.87785836565;103374;104434.25582486056
31324.0;31312.99204688534;497943.0;496009.0905728555;107663;108751.58196913963
33062.0;33178.943326578956;527969.0;527635.1374157959;113296;113053.27895219844
34863.0;35156.08474723762;556522.0;557256.397788565;118181;117316.05346898806
37257.0;37251.04171438905;581813.0;584104.0837004295;122171;121515.18704799077
39699.0;39470.83435685385;608878.0;607426.7221500089;124908;125624.75093804293
42505.0;42505.0;637974.0;637974.0;127854;127854.0
46437.0;45989.9977932701;669272.0;668877.2757611371;130072;130292.47120146641
49400.0;49510.7955664253;701996.0;699266.9735893423;131359;132777.44475801598
52987.0;53013.1255684435;730337.0;728851.9407097524;134753;135309.80653975662
56351.0;56435.04584826554;756375.0;757327.7243190489;137698;137890.4599750982
59695.0;59708.39214100447;783716.0;784382.0314053874;141397;140520.3258897941
62808.0;62760.91599437978;809318.0;809701.02940506;143342;143200.34252130715
67161.0;67161.0;837422.0;837422.0;145184;145184.0
70768.0;70608.0472129643;871617.0;872367.1696783181;147065;147042.8479654572
74292.0;74220.55864989768;907908.0;905813.4850375842;148291;148925.31101711825
78055.0;78005.2392694477;940829.0;937374.0972912636;150648;150831.68466585147
81997.0;81968.92957329123;968518.0;966663.9164577447;153129;152762.26772186527
85784.0;86118.59160116076;990983.0;993308.7551900109;154999;154717.36259706863
90648.0;90461.29260678454;1015518.0;1016954.9003192887;156513;156697.27535780327
95698.0;95698.0;1043038.0;1043038.0;157770;157770.0
100328.0;100965.11419130652;1072667.0;1075280.7521446946;158758;159009.79019678364
106475.0;106486.90136854557;1106829.0;1105929.1651396519;159912;160246.6837182518
112028.0;112271.5013441088;1136024.0;1134724.494982369;161539;161480.36800330697
118226.0;118326.79569228881;1161611.0;1161414.352138105;163009;162710.52715007443
124794.0;124660.32767501358;1184086.0;1185757.1156235132;164077;163936.8419472923
131423.0;131279.21258500806;1208271.0;1207526.4149373453;164967;165158.98999406846
138536.0;138536.0;1233527.0;1233527.0;165664;165664.0
144950.0;144893.82201342596;1261409.0;1261566.7155774618;166152;166581.08391107962
150793.0;151542.3049546985;1288587.0;1287945.7923458866;167007;167503.23938178888
158086.0;158494.6318908856;1314320.0;1312491.966990924;168162;168430.49176478139
165386.0;165764.5739093102;1334084.0;1335040.923212053;169430;169362.87023899535
173491.0;173366.5152217209;1352962.0;1355438.557690744;170588;170300.40661393764
181827.0;181315.47974642183;1375152.0;1373543.1751363429;171324;171243.1277705459
190609.0;190609.0;1396110.0;1396110.0;171879;171879.0
198370.0;199032.75450796247;1423727.0;1423071.6206414273;172576;172589.8431002246
207191.0;207796.9977413779;1449027.0;1448628.8941112102;173171;173276.2904759279
216824.0;216912.51628321566;1474128.0;1472657.861034802;174098;173937.93475508253
226713.0;226390.1514887217;1493132.0;1495039.4811347034;174478;174574.3818863702
236184.0;236240.76708378363;1514901.0;1515660.8482855563;175233;175185.2515663958
246622.0;246475.21329569144;1535350.0;1534416.3774027415;175752;175770.17772410752
257486.0;257486.0;1559157.0;1559157.0;176369;176369.0
265928.0;267021.66555212525;1584512.0;1584269.752646079;176551;177058.8252256592
276146.0;276910.46559143486;1608653.0;1608091.5140483046;177778;177723.65465160657
286605.0;287165.47787282435;1630476.0;1630530.446451003;178473;178363.09859496244
297535.0;297800.26386108884;1651289.0;1651498.583531965;179021;178976.78112072276
308993.0;308828.8871699377;1670280.0;1670912.544935246;179710;179564.34044548482
320922.0;320265.9322112223;1689163.0;1688694.2319294454;179986;180125.42939332675
332424.0;332424.0;1707445.0;1707445.0;180328;180328.0
343091.0;344065.44576789817;1730260.0;1738321.6999502305;180600;180800.5686195468
354065.0;356110.2313018617;1754764.0;1764966.5565293562;181200;181274.36351959815
366946.0;368572.0200224286;1779214.0;1787113.928841048;181524;181749.3893853029
380532.0;381464.9158413841;1799124.0;1804542.6991793565;182196;182225.64746716165
395048.0;394803.4756606633;1816479.0;1817081.003384459;182922;182703.1418004388
410451.0;408602.72222804895;1837374.0;1824609.9042226146;183189;183181.87547393938
425282.0;425282.0;1857332.0;1857332.0;183410;183410.0
440215.0;440957.4944808851;1878683.0;1881165.67384323;183594;183709.55788875994
456183.0;457160.3908961433;1903907.0;1903697.6574744366;183879;184009.46156514302
473105.0;473904.50262951566;1926639.0;1924858.290092234;184121;184309.71089056603
490401.0;491203.68809782935;1944370.0;1944581.4076633537;184472;184610.30571452907
508953.0;509071.82058663195;1961785.0;1962804.771365678;184924;184911.2458861373
528859.0;527522.7554456454;1979912.0;1979470.486247995;185450;185212.53125360986
548318.0;548318.0;2000706.0;2000706.0;185750;185750.0
566840.0;567966.4927264693;2023656.0;2025261.395571213;186109;186060.28926700825
585481.0;587855.4229816652;2048986.0;2049117.7775082588;186506;186348.97251115637
604641.0;607944.2356535132;2074542.0;2072233.3650028082;186522;186615.92468713413
625544.0;628188.5581276509;2094366.0;2094567.086535698;186691;186861.03087315636
648315.0;648540.2006364445;2114026.0;2116078.7245852044;187226;187084.18635318172
673165.0;668947.1935029211;2137731.0;2136729.0662130974;187267;187285.29671311934
697413.0;697413.0;2163290.0;2163290.0;187518;187518.0
719664.0;720509.7381514008;2191099.0;2193237.1350906766;187682;188030.9503087704
742417.0;744362.8405729259;2222579.0;2223319.1726467726;188252;188545.2620129902
767296.0;768996.4990058476;2255328.0;2253526.721686827;188604;189060.93846966742
793802.0;794435.6398583496;2281767.0;2283850.0630071424;189817;189577.9831380674
820916.0;820705.9438333471;2312303.0;2314279.149521171;190299;190096.39940663055
849522.0;847833.8656144574;2347491.0;2344803.6071848692;190670;190616.19067723386
878254.0;878254.0;2382426.0;2382426.0;191272;191272.0
906752.0;908309.1170934166;2422299.0;2424306.7508932776;191768;191826.41349891177
936181.0;939392.7632223207;2467554.0;2466318.7112414697;192480;192372.87465939423
968857.0;971540.1364468726;2510259.0;2508433.557892389;192871;192911.2823286716
1003832.0;1004787.6391225068;2549864.0;2550621.9227098315;193371;193441.53657162123
1039084.0;1039172.9195046521;2590668.0;2592853.4115552627;194036;193963.5386396626
1077781.0;1074734.9134030167;2636414.0;2635096.6273355754;194458;194477.19101092962
1118206.0;1118206.0;2687588.0;2687588.0;194693;194693.0
