doubling every two days;doubling every 4 days;doubling every 10 days;Germany;India;US;Brazil;United Kingdom;date
100.0;100.0;100.0;130.0;102.0;104.0;151.0;134.0;0
141.4213562373095;118.9207115002721;107.17734625362931;159.0;113.0;174.0;151.0;189.0;1
200.0;141.4213562373095;114.86983549970351;196.0;119.0;222.0;162.0;246.0;2
282.842712474619;168.1792830507429;123.11444133449163;262.0;142.0;337.0;200.0;295.0;3
400.0;200.0;131.9507910772894;482.0;156.0;451.0;321.0;374.0;4
565.685424949238;237.8414230005442;141.4213562373095;670.0;194.0;519.0;372.0;429.0;5
800.0;282.842712474619;151.5716566510398;799.0;244.0;711.0;621.0;483.0;6
1131.370849898476;336.3585661014858;162.4504792712471;1040.0;330.0;1109.0;793.0;630.0;7
1600.0;400.0;174.11011265922482;1176.0;396.0;1561.0;1021.0;889.0;8
2262.741699796952;475.6828460010884;186.60659830736148;1457.0;499.0;2157.0;1546.0;1301.0;9
3200.0;565.685424949238;200.0;1908.0;536.0;2870.0;1924.0;1790.0;10
4525.483399593904;672.7171322029716;214.35469250725862;2078.0;657.0;2968.0;2247.0;2270.0;11
6400.0;800.0;229.73967099940697;3675.0;727.0;4360.0;2554.0;2634.0;12
9050.966799187809;951.3656920021768;246.22888266898326;4585.0;887.0;6141.0;2985.0;3077.0;13
12800.0;1131.370849898476;263.9015821545788;5795.0;987.0;8917.0;3417.0;3692.0;14
18101.933598375617;1345.4342644059432;282.842712474619;7272.0;1024.0;14157.0;3904.0;4462.0;15
25600.0;1600.0;303.14331330207966;9257.0;1251.0;19479.0;4256.0;5467.0;16
36203.867196751235;1902.7313840043537;324.9009585424942;12327.0;1397.0;25825.0;4579.0;6533.0;17
51200.0;2262.741699796952;348.22022531844965;15320.0;1998.0;33761.0;5717.0;7791.0;18
72407.73439350247;2690.8685288118863;373.21319661472296;19848.0;2543.0;43850.0;6836.0;9006.0;19
102400.0;3200.0;400.0;22213.0;2567.0;54112.0;8044.0;10395.0;20
144815.46878700494;3805.4627680087074;428.70938501451724;24873.0;3082.0;66055.0;9056.0;12744.0;21
204800.0;4525.483399593904;459.47934199881405;29056.0;3588.0;84091.0;10360.0;15126.0;22
289630.9375740099;5381.737057623773;492.4577653379664;32986.0;4778.0;102276.0;11130.0;17843.0;23
409600.0;6400.0;527.8031643091576;37323.0;5311.0;122069.0;12161.0;20970.0;24
579261.8751480198;7610.925536017415;565.685424949238;43938.0;5916.0;141205.0;14034.0;24219.0;25
819200.0;9050.966799187809;606.2866266041593;50871.0;6725.0;162707.0;16170.0;27062.0;26
1158523.7502960395;10763.474115247545;649.8019170849884;57695.0;7598.0;188724.0;18092.0;29954.0;27
1638400.0;12800.0;696.4404506368992;62095.0;8446.0;214205.0;19638.0;34281.0;28
2317047.500592079;15221.85107203483;746.4263932294459;66885.0;9205.0;244610.0;20727.0;38815.0;29
3276800.0;18101.933598375617;800.0;71808.0;10453.0;276547.0;22192.0;43789.0;30
4634095.001184158;21526.94823049509;857.4187700290345;77872.0;11487.0;309699.0;23430.0;48718.0;31
6553600.0;25600.0;918.9586839976281;84794.0;12322.0;337573.0;25262.0;53699.0;32
9268190.002368316;30443.70214406966;984.9155306759328;91159.0;13430.0;367215.0;28320.0;57772.0;33
13107200.0;36203.867196751235;1055.6063286183153;96092.0;14352.0;397992.0;30425.0;61422.0;34
18536380.004736632;43053.89646099018;1131.370849898476;100123.0;15722.0;429686.0;33682.0;66738.0;35
26214400.0;51200.0;1212.5732532083186;103374.0;17615.0;464442.0;36658.0;72224.0;36
37072760.009473264;60887.40428813932;1299.6038341699768;107663.0;18539.0;497943.0;38654.0;77387.0;37
52428800.0;72407.73439350247;1392.8809012737984;113296.0;20080.0;527969.0;40743.0;82293.0;38
74145520.01894653;86107.79292198036;1492.8527864588918;118181.0;21370.0;556522.0;43079.0;86660.0;39
104857600.0;102400.0;1600.0;122171.0;23077.0;581813.0;45757.0;90273.0;40
148291040.03789306;121774.80857627864;1714.8375400580687;124908.0;24530.0;608878.0;50036.0;93812.0;41
209715200.0;144815.46878700494;1837.9173679952562;127854.0;26283.0;637974.0;54043.0;98017.0;42
296582080.0757861;172215.58584396073;1969.8310613518656;130072.0;27890.0;669272.0;59324.0;102365.0;43
419430400.0;204800.0;2111.2126572366315;131359.0;29451.0;701996.0;63100.0;107465.0;44
593164160.1515722;243549.61715255727;2262.741699796952;134753.0;31324.0;730337.0;67446.0;112808.0;45
838860800.0;289630.9375740099;2425.1465064166364;137698.0;33062.0;756375.0;73235.0;117798.0;46
1186328320.3031445;344431.17168792145;2599.2076683399537;141397.0;34863.0;783716.0;79685.0;122534.0;47
1677721600.0;409600.0;2785.7618025475967;143342.0;37257.0;809318.0;87187.0;126394.0;48
2372656640.606289;487099.23430511454;2985.7055729177846;145184.0;39699.0;837422.0;92202.0;131260.0;49
3355443200.0;579261.8751480198;3200.0;147065.0;42505.0;871617.0;97100.0;136035.0;50
4745313281.212578;688862.3433758429;3429.6750801161375;148291.0;46437.0;907908.0;101826.0;141540.0;51
6710886400.0;819200.0;3675.8347359905124;150648.0;49400.0;940829.0;108620.0;146708.0;52
9490626562.425156;974198.4686102291;3939.6621227037313;153129.0;52987.0;968518.0;115455.0;151689.0;53
13421772800.0;1158523.7502960395;4222.425314473263;154999.0;56351.0;990983.0;126611.0;155453.0;54
18981253124.85031;1377724.6867516858;4525.483399593904;156513.0;59695.0;1015518.0;135773.0;158926.0;55
26843545600.0;1638400.0;4850.293012833273;157770.0;62808.0;1043038.0;146894.0;163630.0;56
37962506249.70062;1948396.9372204582;5198.415336679907;158758.0;67161.0;1072667.0;156061.0;168357.0;57
53687091200.0;2317047.500592079;5571.5236050951935;159912.0;70768.0;1106829.0;162699.0;173807.0;58
75925012499.40125;2755449.3735033716;5971.411145835569;161539.0;74292.0;1136024.0;169594.0;178771.0;59
107374182400.0;3276800.0;6400.0;163009.0;78055.0;1161611.0;178214.0;183501.0;60
151850024998.8025;3896793.8744409163;6859.350160232275;164077.0;81997.0;1184086.0;190137.0;186731.0;61
214748364800.0;4634095.001184158;7351.669471981025;164967.0;85784.0;1208271.0;203165.0;189708.0;62
303700049997.605;5510898.747006743;7879.3242454074625;165664.0;90648.0;1233527.0;220291.0;193091.0;63
429496729600.0;6553600.0;8444.850628946526;166152.0;95698.0;1261409.0;233511.0;196780.0;64
607400099995.21;7793587.748881833;9050.966799187809;167007.0;100328.0;1288587.0;241080.0;200616.0;65
858993459200.0;9268190.002368316;9700.586025666546;168162.0;106475.0;1314320.0;255368.0;204387.0;66
1214800199990.42;11021797.494013486;10396.830673359815;169430.0;112028.0;1334084.0;271885.0;207439.0;67
1717986918400.0;13107200.0;11143.047210190387;170588.0;118226.0;1352962.0;291579.0;209589.0;68
2429600399980.84;15587175.497763665;11942.822291671138;171324.0;124794.0;1375152.0;310087.0;211911.0;69
3435973836800.0;18536380.004736632;12800.0;171879.0;131423.0;1396110.0;330890.0;215500.0;70
4859200799961.68;22043594.988026973;13718.70032046455;172576.0;138536.0;1423727.0;347398.0;218895.0;71
6871947673600.0;26214400.0;14703.33894396205;173171.0;144950.0;1449027.0;363211.0;222195.0;72
9718401599923.36;31174350.99552733;15758.648490814925;174098.0;150793.0;1474128.0;374898.0;224813.0;73
13743895347200.0;37072760.009473264;16889.70125789305;174478.0;158086.0;1493132.0;391222.0;227334.0;74
19436803199846.72;44087189.976053946;18101.933598375617;175233.0;165386.0;1514901.0;411821.0;229406.0;75
27487790694400.0;52428800.0;19401.17205133309;175752.0;173491.0;1535350.0;438238.0;231232.0;76
38873606399693.44;62348701.99105466;20793.66134671963;176369.0;181827.0;1559157.0;465166.0;233809.0;77
54975581388800.0;74145520.01894653;22286.094420380774;176551.0;190609.0;1584512.0;498440.0;236867.0;78
